ms,outcome
1797367,Good hit
1797551,Good hit
1825370,Good hit
1888508,Good hit
1915167,Out
1944876,Good hit
1995635,Out
2034897,Out
2095428,Good hit
2129541,Out
2166466,First serve in
2167267,Lost point
2203042,Lost point
2217777,Bad hit
2257211,Bad hit
2294922,Out
2347068,Good hit
2377425,Good hit
2434415,Unforced error
2466663,Unforced error
2478480,First serve in
2514110,Good hit
2529348,First serve in
2542526,First serve in
2543517,Good hit
2576140,Good hit
2609572,Out
2610612,Out
2638940,Good hit
2671478,Out
2700047,Bad hit
2732065,Good hit
2782828,Good hit
2822466,Good hit
2895740,Good hit
2919195,First serve in
2920241,Good hit
2946015,First serve in
2947090,Good hit
2985182,Out
3018420,Bad hit
3064237,Bad hit
3108084,Lost point
3156621,Lost point
3205266,Bad hit
3229488,Good hit
3261416,Good hit
3280498,Good hit
3328515,Good hit
3482546,Out
3483591,First serve in
3537422,Good hit
3591481,Good hit
3593262,First serve in
3635956,First serve in
3637801,Bad hit
3679334,Out
3716732,Good hit
3747229,First serve in
3748337,Out
3781553,First serve in
3782673,Good hit
3815123,Lost point
3831548,First serve in
3862846,Bad hit
3888638,Out
3914750,Lost point
3937040,Good hit
3965745,Lost point
3998438,Bad hit
4071133,Bad hit
4072215,Lost point
4111927,Good hit
4156635,Good hit
4187660,Bad hit
4221072,Good hit
4268775,Lost point
4306883,First serve in
4308402,Good hit
4341271,Good hit
4385050,Out
4410805,Lost point
4434916,Good hit
4466677,Out
4482298,Good hit
4505560,Lost point
4573595,Lost point
4626716,Good hit
4677951,First serve in
4679207,Out
4727287,Good hit
4782599,Good hit
4832800,Out
4873558,Bad hit
4906235,Bad hit
